"","fL","usekernel","adjust","Accuracy","Kappa","AccuracySD","KappaSD"
"148",0.65,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"149",0.65,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"150",0.65,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"151",0.65,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"152",0.65,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"153",0.65,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"154",0.65,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"155",0.65,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"156",0.65,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"157",0.7,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"158",0.7,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"159",0.7,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"160",0.7,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"161",0.7,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"162",0.7,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"163",0.7,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"164",0.7,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"165",0.7,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"166",0.7,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"167",0.7,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"168",0.7,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"169",0.75,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"170",0.75,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"171",0.75,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"172",0.75,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"173",0.75,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"174",0.75,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"175",0.75,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"176",0.75,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"177",0.75,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"178",0.75,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"179",0.75,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"180",0.75,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"181",0.8,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"182",0.8,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"183",0.8,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"184",0.8,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"185",0.8,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"186",0.8,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"187",0.8,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"188",0.8,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"189",0.8,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"190",0.8,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"191",0.8,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"192",0.8,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"193",0.85,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"194",0.85,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"195",0.85,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"196",0.85,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"197",0.85,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
